number,family_slug,prefix,function_prefix,scope,primary_column,secondary_column,kind,files,features
19,technology_f19_operating_leverage,opl,cg_f19_technology_f19_operating_leverage,"operating leverage from gross profit, operating income, and revenue scale",gp,revenue,numeric,4,450
20,technology_f20_rnd_intensity,rdi,cg_f20_technology_f20_rnd_intensity,"R&D intensity, persistence, and payback proxies for technology companies",rnd,revenue,numeric,4,450
21,technology_f21_rnd_productivity,rdp,cg_f21_technology_f21_rnd_productivity,"R&D productivity measured against revenue, gross profit, operating income, and price response",rnd,revenue,numeric,4,450
22,technology_f22_sales_marketing_efficiency,sme,cg_f22_technology_f22_sales_marketing_efficiency,"sales and marketing efficiency through SG&A intensity, revenue response, and operating leverage",sgna,revenue,numeric,4,450
23,technology_f23_software_margin_signature,sms,cg_f23_technology_f23_software_margin_signature,"software-like margin signature from gross profit, SG&A, capex lightness, and price confirmation",sgna,revenue,numeric,4,450
24,technology_f24_hardware_margin_cyclicality,hmc,cg_f24_technology_f24_hardware_margin_cyclicality,"hardware margin cyclicality from cost of revenue, inventory build, and gross-profit response",cor,revenue,numeric,4,450
25,technology_f25_semiconductor_inventory_cycle,sic,cg_f25_technology_f25_semiconductor_inventory_cycle,"semiconductor inventory cycle from inventory build/burn, cost pressure, and gross profit response",inventory,revenue,numeric,4,450
26,technology_f26_cloud_capex_intensity,cci,cg_f26_technology_f26_cloud_capex_intensity,"cloud capex intensity from capex, assets, fixed assets, revenue growth, and price response",capex,revenue,numeric,4,450
27,technology_f27_asset_lightness,alt,cg_f27_technology_f27_asset_lightness,"asset-light technology profile from fixed assets, capex, revenue scale, and market response",ppnenet,assets,numeric,4,450
28,technology_f28_intangible_asset_engine,iae,cg_f28_technology_f28_intangible_asset_engine,"intangible asset engine from intangibles, leverage, R&D capitalization proxy, and price response",intangibles,assets,numeric,4,450
29,technology_f29_free_cash_flow_quality,fcq,cg_f29_technology_f29_free_cash_flow_quality,"free cash flow quality from FCF margin, CFO conversion, earnings conversion, and market response",fcf,revenue,numeric,4,450
30,technology_f30_cash_conversion_engine,cce,cg_f30_technology_f30_cash_conversion_engine,"cash conversion engine from FCF, CFO, working capital, receivables, payables, and price response",fcf,revenue,numeric,4,450
31,technology_f31_cash_runway_strength,crs,cg_f31_technology_f31_cash_runway_strength,"cash runway strength from cash, operating expense, CFO, earnings, revenue, and price response",cashneq,opex,numeric,4,450
32,technology_f32_balance_sheet_flexibility,bsf,cg_f32_technology_f32_balance_sheet_flexibility,"balance-sheet flexibility from net cash, leverage capacity, liquidity, and market response",cashneq,debt,numeric,4,450
33,technology_f33_leverage_and_interest_risk,lir,cg_f33_technology_f33_leverage_and_interest_risk,"leverage and interest risk from debt burden, coverage, EBITDA support, and price response",debt,equity,numeric,4,450
34,technology_f34_share_count_dilution,scd,cg_f34_technology_f34_share_count_dilution,"share-count dilution from basic, weighted, diluted shares and common-stock cash flows",sharesbas,shareswa,numeric,4,450
35,technology_f35_buyback_effectiveness,bbe,cg_f35_technology_f35_buyback_effectiveness,"buyback effectiveness from common-stock cash flows, share shrink, FCF support, and price response",ncfcommon,marketcap,numeric,4,450
36,technology_f36_profitability_inflection,pif,cg_f36_technology_f36_profitability_inflection,"profitability inflection from net income, operating profit, FCF, revenue scale, and price response",netinc,revenue,numeric,4,450
37,technology_f37_earnings_quality_accruals,eqa,cg_f37_technology_f37_earnings_quality_accruals,"earnings quality and accruals from net income, CFO gap, working capital, and revenue scale",netinc,ncfo,numeric,4,450
38,technology_f38_tax_and_geographic_complexity,tgc,cg_f38_technology_f38_tax_and_geographic_complexity,"tax and geographic complexity from effective tax, OCI, equity translation, and price response",taxexp,ebt,numeric,4,450
39,technology_f39_deferred_revenue_proxy,drp,cg_f39_technology_f39_deferred_revenue_proxy,"deferred revenue proxy from deferred revenue, liability mix, cash backing, growth, and price response",deferredrev,revenue,numeric,4,450
40,technology_f40_customer_prepay_and_contract_proxy,cpc,cg_f40_technology_f40_customer_prepay_and_contract_proxy,"customer prepay and contract proxy from deferred revenue, deposits, liability mix, and market response",deferredrev,revenue,numeric,4,450
41,technology_f41_working_capital_efficiency,wce,cg_f41_technology_f41_working_capital_efficiency,"working-capital efficiency from current assets, current liabilities, receivables, payables, inventory, and revenue",workingcapital,revenue,numeric,4,450
42,technology_f42_enterprise_scale_efficiency,ese,cg_f42_technology_f42_enterprise_scale_efficiency,"enterprise scale efficiency from revenue/assets/equity productivity, EV scale, and price response",revenue,assets,numeric,4,450
43,technology_f43_tech_quality_composite,tqc,cg_f43_technology_f43_tech_quality_composite,"technology quality composite from returns, margins, FCF conversion, and price confirmation",roic,fcf,numeric,4,450
44,technology_f44_fundamental_momentum,fmo,cg_f44_technology_f44_fundamental_momentum,"fundamental momentum from improving turnover, returns, revenue, FCF, and price response",assetturnover,roa,numeric,4,450
45,technology_f45_fundamental_revision_risk,frr,cg_f45_technology_f45_fundamental_revision_risk,"fundamental revision risk from deterioration in returns, growth, FCF, and operating profit",roe,roic,numeric,4,450
46,technology_f46_sales_multiple_regime,smr,cg_f46_technology_f46_sales_multiple_regime,"sales multiple regime using PS, EV/sales, compression, expansion, and price returns",ps,closeadj,numeric,4,450
47,technology_f47_earnings_multiple_regime,emr,cg_f47_technology_f47_earnings_multiple_regime,"earnings multiple regime using PE, earnings yield, compression, expansion, and price returns",pe,closeadj,numeric,4,450
48,technology_f48_cash_flow_multiple_regime,cfm,cg_f48_technology_f48_cash_flow_multiple_regime,"cash-flow multiple regime using PB, ROE, FCF yield, EV/FCF, and price response",pb,roe,numeric,4,450
49,technology_f49_enterprise_value_structure,evs,cg_f49_technology_f49_enterprise_value_structure,"enterprise value structure from EV/market cap, net debt, EBITDA support, and price response",ev,marketcap,numeric,4,450
50,technology_f50_marketcap_compounding,mcc,cg_f50_technology_f50_marketcap_compounding,"market cap compounding from market value growth, EV relation, liquidity, revenue, and FCF support",marketcap,ev,numeric,4,450
51,technology_f51_valuation_growth_alignment,vga,cg_f51_technology_f51_valuation_growth_alignment,"valuation growth alignment using market cap, EV, revenue growth, FCF growth, and price response",marketcap,revenue,numeric,4,450
52,technology_f52_profitability_adjusted_valuation,pav,cg_f52_technology_f52_profitability_adjusted_valuation,"profitability adjusted valuation using EV/sales, margins, ROIC, operating income, and price response",ev,revenue,numeric,4,450
53,technology_f53_rnd_adjusted_valuation,rav,cg_f53_technology_f53_rnd_adjusted_valuation,"R&D adjusted valuation using R&D intensity, market value, EV, FCF, and price response",rnd,marketcap,numeric,4,450
54,technology_f54_tech_peer_relative_valuation,prv,cg_f54_technology_f54_tech_peer_relative_valuation,"technology peer-relative valuation using normalized multiple spreads, market scale, revenue, and price response",ps,marketcap,numeric,4,450
55,technology_f55_valuation_reversion_risk,vrr,cg_f55_technology_f55_valuation_reversion_risk,"valuation reversion risk from stretched multiples, margin support, and price momentum",ps,grossmargin,numeric,4,450
56,technology_f56_deep_value_technology,dvt,cg_f56_technology_f56_deep_value_technology,"deep value technology from low multiples, revenue support, FCF yield, and recovery response",ps,revenue,numeric,4,450
57,technology_f57_high_growth_premium,hgp,cg_f57_technology_f57_high_growth_premium,"high-growth premium from earnings/sales multiples, revenue growth, earnings growth, and price response",pe,netinc,numeric,4,450
58,technology_f58_multiple_reset_opportunity,mro,cg_f58_technology_f58_multiple_reset_opportunity,"multiple reset opportunity from compressed PB/PE/PS, equity backing, FCF yield, and rebound potential",pb,equity,numeric,4,450
59,technology_f59_insider_purchase_cluster,ipc,cg_f59_technology_f59_insider_purchase_cluster,"insider purchase cluster from buy value, buy shares, unique buyers, net insider flow, ownership, and price response",insider_buy_value,insider_buy_shares,numeric,4,450
60,technology_f60_insider_sale_pressure,isp,cg_f60_technology_f60_insider_sale_pressure,"insider sale pressure from sell value, sell shares, seller breadth, net insider flow, ownership changes, and price response",insider_sell_value,insider_sell_shares,numeric,4,450
61,technology_f61_insider_net_buy_sell_balance,inb,cg_f61_technology_f61_insider_net_buy_sell_balance,"insider net buy/sell balance using aggregate buy/sell value, shares, counts, ownership, and price response",insider_net_value,insider_net_shares,numeric,4,450
62,technology_f62_executive_role_weighted_activity,era,cg_f62_technology_f62_executive_role_weighted_activity,executive role-weighted insider activity using officer/director buy and sell value aggregates,insider_officer_buy_value,insider_director_buy_value,numeric,4,450
63,technology_f63_founder_and_operator_conviction,foc,cg_f63_technology_f63_founder_and_operator_conviction,"founder/operator conviction proxies using officer activity, ten-percent holder selling, and ownership persistence",insider_officer_buy_value,insider_total_shares_owned,numeric,4,450
64,technology_f64_insider_timing_vs_valuation,itv,cg_f64_technology_f64_insider_timing_vs_valuation,insider timing versus valuation using net insider flows against PS/PE/PB and price returns,insider_net_value,ps,numeric,4,450
65,technology_f65_insider_timing_vs_fundamentals,itf,cg_f65_technology_f65_insider_timing_vs_fundamentals,"insider timing versus fundamentals using net flows against revenue, FCF, ROIC, margins, and ownership",insider_net_value,revenue,numeric,4,450
66,technology_f66_insider_activity_acceleration,iaa,cg_f66_technology_f66_insider_activity_acceleration,"insider activity acceleration using changes in value, counts, breadth, and price response",insider_net_value,insider_buy_count,event,4,450
67,technology_f67_insider_silence_after_weakness,isw,cg_f67_technology_f67_insider_silence_after_weakness,insider silence after weakness using absent buying after drawdowns and sell pressure versus market value,insider_buy_count,closeadj,event,4,450
68,technology_f68_insider_ownership_dilution_signal,iod,cg_f68_technology_f68_insider_ownership_dilution_signal,"insider ownership dilution signal using ownership percentage, net insider shares, share base, and price response",insider_total_shares_owned,sharesbas,event,4,450
69,technology_f69_institutional_ownership_breadth,iob,cg_f69_technology_f69_institutional_ownership_breadth,"institutional ownership breadth using holder count, institutional share, value, concentration, and price response",inst_share,inst_holders,numeric,4,450
70,technology_f70_institutional_accumulation,iac,cg_f70_technology_f70_institutional_accumulation,"institutional accumulation using value changes, share changes, institutional breadth, new buyers, sellers, and price response",inst_value,inst_shares,numeric,4,450
71,technology_f71_institutional_distribution,ids,cg_f71_technology_f71_institutional_distribution,"institutional distribution from full sellers, decreasing holders, institutional value changes, breadth, and price response",inst_full_sellers_count,inst_dec_count,numeric,4,450
72,technology_f72_ownership_concentration,ocn,cg_f72_technology_f72_ownership_concentration,"ownership concentration from HHI, top holder shares, institutional breadth, and price response",inst_concentration_hhi,inst_top10_share,numeric,4,450
73,technology_f73_sponsor_quality_proxy,sqp,cg_f73_technology_f73_sponsor_quality_proxy,"sponsor quality proxy from durable holder breadth, position size, owner mix, and price response",inst_holders,inst_value,numeric,4,450
74,technology_f74_growth_institutional_sponsorship,gis,cg_f74_technology_f74_growth_institutional_sponsorship,"growth institutional sponsorship from increasing holders, new buyers, institutional value, revenue growth, and price response",inst_inc_count,inst_new_buyers,numeric,4,450
75,technology_f75_value_institutional_sponsorship,vis,cg_f75_technology_f75_value_institutional_sponsorship,value institutional sponsorship from accumulation into low valuation and cash-flow support,inst_value,inst_share,numeric,4,450
76,technology_f76_forced_selling_risk,fsr,cg_f76_technology_f76_forced_selling_risk,"forced selling risk from full sellers, institutional reductions, short-float pressure, and weakness",inst_full_sellers_count,inst_value,numeric,4,450
77,technology_f77_institutional_insider_alignment,iia,cg_f77_technology_f77_institutional_insider_alignment,institutional-insider alignment from institutional accumulation and insider net buying/selling,inst_value,insider_net_value,event,4,450
78,technology_f78_ownership_float_pressure,ofp,cg_f78_technology_f78_ownership_float_pressure,"ownership float pressure from institutional shares, insider ownership, short float, concentration, and price response",inst_shares,sharesbas,event,4,450
79,technology_f79_split_and_reverse_split_signal,srs,cg_f79_technology_f79_split_and_reverse_split_signal,"split and reverse-split signal from split events, reverse splits, action count, share factor, and market response",action_split,action_reverse_split,event,4,450
80,technology_f80_dividend_policy_technology,dpt,cg_f80_technology_f80_dividend_policy_technology,"technology dividend policy from DPS, dividend suspension, payout support, FCF, earnings, and price response",dps,action_dividend_suspension,event,4,450
81,technology_f81_buyback_and_share_reduction_actions,bsa,cg_f81_technology_f81_buyback_and_share_reduction_actions,"buyback and share-reduction actions from common-stock cash flows, share shrink, FCF support, and price response",ncfcommon,sharesbas,event,4,450
82,technology_f82_equity_issuance_and_dilution_actions,eia,cg_f82_technology_f82_equity_issuance_and_dilution_actions,"equity issuance and dilution actions from share growth, diluted share spread, common-stock cash flows, and price response",sharesbas,shareswadil,event,4,450
83,technology_f83_spinoff_and_restructuring_actions,spa,cg_f83_technology_f83_spinoff_and_restructuring_actions,"spinoff and restructuring proxies from action clustering, ticker changes, writedowns, restatements, and market response",action_count,event_material_writedown,event,4,450
84,technology_f84_merger_acquisition_actions,maa,cg_f84_technology_f84_merger_acquisition_actions,"merger and acquisition action response from acquisition events, EV/revenue, volume, and price confirmation",action_acquisition,marketcap,event,4,450
85,technology_f85_listing_exchange_actions,lea,cg_f85_technology_f85_listing_exchange_actions,"listing and exchange action proxies from ticker/index events, action density, liquidity, and market response",action_ticker_change,index_event,event,4,450
86,technology_f86_corporate_action_density,cad,cg_f86_technology_f86_corporate_action_density,"corporate action density from aggregate action counts, event counts, split/acquisition/listing mix, and price-volume response",action_count,event_count,event,4,450
87,technology_f87_action_price_confirmation,apc,cg_f87_technology_f87_action_price_confirmation,action price confirmation from price/volume response after action and event clusters,action_count,volume,event,4,450
88,technology_f88_action_fundamental_followthrough,aff,cg_f88_technology_f88_action_fundamental_followthrough,"action fundamental follow-through from post-action revenue, FCF, ROIC, share base, and price improvement",action_count,sharesbas,event,4,450
89,technology_f89_filing_event_density,fed,cg_f89_technology_f89_filing_event_density,"filing event density from filing counts, late/NT filings, non-reliance, going-concern events, and price-volume response",event_count,nt_filing_event,event,4,450
90,technology_f90_earnings_event_response,eer,cg_f90_technology_f90_earnings_event_response,"earnings event response from EPS/revenue surprise dispersion, event density, price, and volume confirmation",eps_disp,rev_disp,event,4,450
91,technology_f91_guidance_and_outlook_proxy,gop,cg_f91_technology_f91_guidance_and_outlook_proxy,"earnings guidance and analyst outlook proxies from EPS/revenue estimates, dispersion, revisions, and price confirmation",eps_est,rev_est,numeric,4,450
92,technology_f92_audit_reporting_risk,arr,cg_f92_technology_f92_audit_reporting_risk,"audit, delayed filing, non-reliance, going-concern, restatement, and SEC investigation risk proxies",nt_filing_event,late_filings_count,numeric,4,450
93,technology_f93_sector_industry_purity,sip,cg_f93_technology_f93_sector_industry_purity,"technology business purity proxies using revenue scale, margins, valuation, R&D intensity, and trading behavior",revenue,rnd,numeric,4,450
94,technology_f94_listing_age_lifecycle,lal,cg_f94_technology_f94_listing_age_lifecycle,"public-market lifecycle stage proxies from trading history, market capitalization, revenue maturity, and event cadence",closeadj,marketcap,numeric,4,450
95,technology_f95_exchange_and_security_type_quality,esq,cg_f95_technology_f95_exchange_and_security_type_quality,"listing quality proxies from ticker changes, splits, reverse splits, dividend suspensions, liquidity, and size",action_ticker_change,action_reverse_split,numeric,4,450
96,technology_f96_data_quality_and_coverage,dqc,cg_f96_technology_f96_data_quality_and_coverage,"financial and event data quality proxies from filing latency, estimate dispersion, event coverage, and stale-value behavior",event_count,days_since_filing,numeric,4,450
97,technology_f97_technology_compounder_score,tcs,cg_f97_technology_f97_technology_compounder_score,"technology compounder quality from revenue growth, reinvestment, margins, returns, cash generation, and price confirmation",revenue,roic,numeric,4,450
98,technology_f98_technology_turnaround_score,tts,cg_f98_technology_f98_technology_turnaround_score,"technology turnaround from improving cash flow, profitability, margin recovery, financing pressure, and price response",fcf,netinc,numeric,4,450
99,technology_f99_technology_bubble_risk_score,tbrs,cg_f99_technology_f99_technology_bubble_risk_score,"technology bubble-risk proxies from valuation expansion, weak fundamentals, dilution, volatility, and corporate-action intensity",ps,marketcap,numeric,4,450
100,technology_f100_technology_multi_source_master,tms,cg_f100_technology_f100_technology_multi_source_master,"multi-source technology master signals combining price, fundamentals, actions, filings, insiders, and institutions",closeadj,revenue,numeric,4,450
101,technology_f101_technology_short_interest_dynamics,tsi,cg_f101_technology_f101_technology_short_interest_dynamics,"short-interest level, change, days-to-cover, squeeze setup, and price confirmation",shortint,short_pct_float,numeric,4,450
102,technology_f102_estimate_revision_breadth,erb,cg_f102_technology_f102_estimate_revision_breadth,"analyst estimate revisions: velocity, up/down breadth, dispersion, and PEAD drift",eps_est,rev_est,numeric,4,450
103,technology_f103_options_implied_vol_regime,oiv,cg_f103_technology_f103_options_implied_vol_regime,"options-implied volatility regime: IV level, IV-RV spread, skew, term structure, put-call",iv,iv_skew,numeric,4,450
104,technology_f104_macro_rates_sensitivity,mrs,cg_f104_technology_f104_macro_rates_sensitivity,"macro/rates sensitivity: beta to 10y rates, USD, Nasdaq, semi cycle, and risk-on/off transitions",closeadj,rate_10y,numeric,4,450
